end,start,days,portfolio_return,factor_return,specific_return,fixed_weight_return,buy_and_hold_return,benchmark_return,ex_ante_factor_variance,ex_ante_specific_variance,ex_ante_total_variance,contrib_equity,contrib_rates_level,contrib_rates_slope,contrib_credit,contrib_commodity,contrib_dollar,impact,fees,shortfall,predicted,realised,residual
2011-11-30,2011-10-31,20,0.002586495649,-0.002071936655,0.004658432305,0.003331477196,0.002452322326,-0.01176814474,0.0004824247502,2.501344656e-05,0.0005074381968,-0.001223191272,0.005295695008,0.0009479776298,-0.005134586445,0.002290900545,-0.004248732122,0.0003510000185,0,0.0003510000185,0.0003510000185,0.0003510000185,5.421010862e-20
2011-12-30,2011-11-30,21,0.009867291095,0.01834993927,-0.008482648179,0.009631122761,0.009785261014,-0.0002498870933,0.0004601386933,4.729950597e-05,0.0005074381992,0.001132947506,0.01077385252,0.00240369477,0.008034298341,-0.001018284142,-0.002976569717,0.0001133675487,0,0.0001133675487,0.0001133675487,0.0001133675487,-4.065758147e-20
2012-01-31,2011-12-30,20,0.0282536835,0.01618941808,0.01206426542,0.02814070061,0.02848901376,0.03881794761,0.0004726888964,3.474930397e-05,0.0005074382003,0.009093537402,0.005459634622,-0.003308861031,-0.0001466039868,1.426468512e-05,0.005077446388,0.0001635893674,0,0.0001635893674,0.0001635893674,0.0001635893674,-8.131516294e-20
2012-02-29,2012-01-31,20,0.002159639961,-0.001065746156,0.003225386117,0.002305480413,0.002000177078,0.01319378262,0.0005006170423,6.821164366e-06,0.0005074382066,0.01178569788,-0.01299765821,-0.0007439594413,0.0008684741443,4.372067373e-05,-2.202120574e-05,0.0002605699807,0,0.0002605699807,0.0002605699807,0.0002605699807,-5.421010862e-20
2012-03-30,2012-02-29,22,-0.01825875192,-0.02221183799,0.003953086071,-0.01816522979,-0.01835480681,-0.01180502502,0.0004942985955,1.313960659e-05,0.0005074382021,0.008098788914,-0.01937100933,-0.006605855097,-0.003183652123,-0.0001365681151,-0.001013542241,6.475220819e-05,0,6.475220819e-05,6.475220819e-05,6.475220819e-05,1.355252716e-20
2012-04-30,2012-03-30,19,0.01199654336,0.009840430923,0.002156112435,0.01257929199,0.01197464033,0.00414751566,0.0004991856084,8.252605872e-06,0.0005074382143,0.001564111134,0.008636429296,-0.001386065968,0.001170816772,-0.0003246177101,0.0001797573996,0.0001181208351,0,0.0001181208351,0.0001181208351,0.0001181208351,0
2012-05-31,2012-04-30,22,0.01294557075,0.01054931267,0.002396258071,0.01029324236,0.01283737996,-0.0238221029,0.0005019465105,5.491739515e-06,0.00050743825,-0.03110955758,0.02188709412,0.01996987093,-5.405595176e-06,0.0001162510325,-0.0003089402376,0.0001320124598,0,0.0001320124598,0.0001320124598,0.0001320124598,5.421010862e-20
2012-06-29,2012-05-31,21,0.01693509372,0.0133269397,0.003608154017,0.01837786382,0.01689831356,0.02120106731,0.0005020474511,5.390763905e-06,0.000507438215,0.02019540575,-0.00614318228,-0.001045237272,-3.121421038e-05,7.104187897e-05,0.0002801258319,2.036592538e-05,0,2.036592538e-05,2.036592538e-05,2.036592538e-05,-2.032879073e-20
2012-07-31,2012-06-29,21,0.02738370556,0.02271788875,0.004665816807,0.02792997773,0.02760470975,0.01733465191,0.0005021920555,5.246139079e-06,0.0005074381945,0.002800600488,0.0162430139,0.004068558787,-3.039403436e-05,-0.000371344326,7.453943125e-06,0.0002975866029,0,0.0002975866029,0.0002975866029,0.0002975866029,-5.421010862e-20
2012-08-31,2012-07-31,23,0.0016859066,-0.0006116444401,0.002297551041,0.002262168602,0.001383906879,0.01401314199,0.0005028005324,4.637670289e-06,0.0005074382027,0.01071624083,-0.004852592953,-0.006910536539,0.0001934374926,6.534607833e-05,0.0001764606481,0.0001516233158,0,0.0001516233158,0.0001516233158,0.0001516233158,0
2012-09-28,2012-08-31,19,0.001520488586,-0.001197031678,0.002717520264,0.002122402154,0.001338716648,0.01323855692,0.0005007070783,6.731119275e-06,0.0005074381975,0.0115505468,-0.005551103237,-0.007438513499,-0.0005509860507,-0.0001888370741,0.00098186138,0.0001513171411,0,0.0001513171411,0.0001513171411,0.0001513171411,0
2012-10-26,2012-09-28,19,-0.01756305617,-0.01863169063,0.001068634453,-0.01681466921,-0.01752696068,-0.009283063919,0.0005020764608,5.36175157e-06,0.0005074382124,-0.008829927126,-0.01043529038,-0.0005156350472,0.001426590962,-0.0001771680621,-0.0001002609736,3.906523708e-05,0,3.906523708e-05,3.906523708e-05,3.906523708e-05,0
2012-11-30,2012-10-26,20,0.005987750179,0.007602934459,-0.00161518428,0.006720004184,0.005784576313,0.007923736561,0.0005018188931,5.619337041e-06,0.0005074382301,0.004815677478,0.00584058135,-0.003188079098,7.561242299e-05,4.701392947e-05,1.212837575e-05,4.392097043e-05,0,4.392097043e-05,4.392097043e-05,4.392097043e-05,-1.355252716e-20
