# {
#   "_what": "SPEC.md 5.4 bias series B_t^F for MODEL B (SPEC.md 4.2), one column per variant x horizon x eigenfactor a, built by `python -m mafrm.factors.statistical_report --rebuild`. sigma_kt is the forecast made at t-1 from the full pre-VRA pipeline.",
#   "columns": [
#     "bias_denoised_short_a1.0",
#     "bias_denoised_short_a1.4",
#     "bias_denoised_long_a1.0",
#     "bias_denoised_long_a1.4",
#     "bias_detoned_short_a1.0",
#     "bias_detoned_short_a1.4",
#     "bias_detoned_long_a1.0",
#     "bias_detoned_long_a1.4"
#   ],
#   "generated_utc": "2026-09-02T17:22:20+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": {
#     "denoised": "1b2b4e8ffb293ece0093377cd67e0f214b9912bb4c148de309f9659f5d0b0946",
#     "detoned": "63b076b12171ea675d333f4ece53e0a69c273f759f2b927dd642a6c87d296670"
#   },
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 4164
# }
date,k_over_realised_t_eff_denoised_short,k_over_realised_t_eff_denoised_long,k_over_realised_t_eff_detoned_short,k_over_realised_t_eff_detoned_long,bias_denoised_short_a1.0,bias_denoised_short_a1.4,bias_denoised_long_a1.0,bias_denoised_long_a1.4,bias_detoned_short_a1.0,bias_detoned_short_a1.4,bias_detoned_long_a1.0,bias_detoned_long_a1.4
2024-02-08,0.0123775579906,0.00412603299044,0.0123775579906,0.00412604528834,0.81490855827,0.814740119415,0.724300469808,0.72414741626,0.356707858512,0.356554765499,0.354989973468,0.354837064904
2024-02-09,0.0123775579906,0.00412603255227,0.0123775579906,0.00412604481639,0.517472694833,0.517407376255,0.457252956293,0.457199290998,0.299969666904,0.300316983932,0.279341351265,0.279663938157
2024-02-12,0.0123775579906,0.00412603211531,0.0123775579906,0.00412604434574,0.233092823082,0.233079232971,0.214999521826,0.214987623234,0.29694694942,0.29689576659,0.27351671058,0.273476854098
2024-02-13,0.0123775579906,0.00412603167954,0.0123775579906,0.00412604387637,1.4975259215,1.49695774636,1.45218676427,1.45162939064,1.91394387086,1.91283177038,1.82194936551,1.82093766318
2024-02-14,0.0123775579906,0.00412603124497,0.0123775579906,0.0041260434083,0.853622357897,0.853584317682,0.817004542939,0.816954277391,1.08932463269,1.08878482255,1.01557188168,1.01508948861
2024-02-15,0.0123775579906,0.00412603081159,0.0123775579906,0.00412604294151,0.498504105723,0.498311961416,0.485906460247,0.485717113169,0.502390875463,0.502229664703,0.496342329489,0.496182267282
2024-02-16,0.0123775579906,0.00412603037941,0.0123775579906,0.00412604247601,0.699108970753,0.699040606675,0.653571669202,0.653504486461,0.974590506028,0.973800175227,0.884419967353,0.883722855773
2024-02-20,0.0123775579906,0.00412602994841,0.0123775579906,0.00412604201178,0.415379078994,0.415293923577,0.371631356905,0.37155466398,0.446401514129,0.446352434946,0.407369008439,0.40733579683
2024-02-21,0.0123775579906,0.0041260295186,0.0123775579906,0.00412604154883,0.603795051628,0.603697107538,0.550260705137,0.550169556506,0.403885887201,0.403790621128,0.383201755103,0.383112378897
2024-02-22,0.0123775579906,0.00412602908996,0.0123775579906,0.00412604108715,0.760994037617,0.76087312846,0.677613748277,0.6775083746,0.818898188363,0.818737065289,0.741978858111,0.741856017823
